Distrito,Código Postal,Cod_dist
Ciutat Vella,46003,1
Ciutat Vella,46001,1
Ciutat Vella,46002,1
l'Eixample,46006,2
l'Eixample,46004,2
l'Eixample,46005,2
Extramurs,46008,3
Extramurs,46007,3
Campanar,46015,4
Campanar,46009,4
Campanar,46010,4
la Saïdia,46009,5
la Saïdia,46010,5
la Saïdia,46019,5
el Pla del Real,46010,6
l'Olivereta,46018,7
l'Olivereta,46014,7
Patraix,46018,8
Patraix,46017,8
Patraix,46014,8
Patraix,46006,8
Jesús,46007,9
Jesús,46017,9
Jesús,46006,9
Quatre Carreres,46006,10
Quatre Carreres,46026,10
Quatre Carreres,46013,10
Poblats Marítims,46011,11
Poblats Marítims,46024,11
Camins al Grau,46022,12
Camins al Grau,46023,12
Camins al Grau,46024,12
Algirós,46022,13
Algirós,46020,13
Algirós,46023,13
Benimaclet,46020,14
Rascanya,46019,15
Benicalap,46015,16
Benicalap,46016,16
